,id,name,company,industry,size,source,created_at,summary,lead_quality
33,34,Daniel Lamb,Howell Group,Finance,409,PPC,2025-06-07T14:19:48.923143Z,"Howell Group is a leading finance company that specializes in providing a range of financial solutions and services, including investment management, asset protection, and wealth planning, to individuals, families, and businesses across the globe.",Medium
34,35,Jessica Todd,Rogers Group,Finance,65,PPC,2025-05-29T14:19:48.923236Z,"Rogers Group is a leading provider of financial solutions, offering a comprehensive range of services including banking, investments, and wealth management, catering to individuals, businesses, and institutions across the globe.",Medium
35,36,Paul Burgess,"Cox, Garcia and Bender",Finance,271,PPC,2025-06-13T14:19:48.923330Z,"Cox, Garcia and Bender is a prominent financial services firm that specializes in providing comprehensive wealth management solutions, investment advice, and estate planning strategies to high net worth individuals and families across the globe.",Medium
36,37,Christopher Becker,"Phillips, Bolton and Robinson",Healthcare,427,PPC,2025-06-26T14:19:48.923491Z,"Phillips, Bolton and Robinson is a leading healthcare provider specializing in rehabilitation services, occupational therapy, and specialist nursing care, serving the local community with a commitment to delivering high-quality, patient-centered care.",Medium
37,38,Todd Stone,"Kennedy, Ramos and Li",Finance,11,Email,2025-06-02T14:19:48.923654Z,"Kennedy, Ramos and Li is a finance company specializing in providing expert financial planning and management services to individuals, businesses, and organizations, leveraging the expertise of its seasoned professionals to deliver tailored solutions for achieving long-term financial goals.",Medium
38,39,Kim Diaz,Washington Group,Finance,48,PPC,2025-06-25T14:19:48.923823Z,"Washington Group is a leading finance company that provides innovative financial solutions and services to individuals and businesses across the nation, leveraging its expertise in investment management, insurance, and lending to foster long-term growth and stability.",Medium.
39,40,Aaron Orozco,Mendoza Inc,Technology,344,Email,2025-06-12T14:19:48.923920Z,"Mendoza Inc is a technology firm that specializes in innovative software solutions and cutting-edge digital products, leveraging its expertise in artificial intelligence and cloud computing to drive business growth and transformation for clients across various industries.",Medium
40,41,Alexander Pena,Ramos Group,Healthcare,454,Referral,2025-06-05T14:19:48.924013Z,"The Ramos Group is a leading healthcare provider specializing in medical equipment supply, consulting, and technology solutions, offering a comprehensive range of services that cater to the evolving needs of healthcare institutions worldwide.",Medium
41,42,Melissa Fowler,Anderson-Frank,Finance,318,Organic,2025-06-15T14:19:48.924106Z,"Anderson Frank is a leading financial services firm specializing in investment banking and M&A advisory, providing expert guidance and strategic solutions to clients across various sectors.",Medium
42,43,Steven Brown,Carney Ltd,Technology,107,Referral,2025-06-23T14:19:48.924234Z,"Carney Ltd is a technology company that specializes in innovative software solutions and services, leveraging its expertise to empower businesses and individuals alike with cutting-edge digital tools and expertise.",Medium
43,44,Lisa Scott,Bentley Group,Finance,234,Referral,2025-05-28T14:19:48.924327Z,"Bentley Group is a leading global finance company specializing in wealth management and investment services, providing tailored solutions to high net worth individuals and institutional clients across the globe.",Medium
44,45,Sarah Garrett,Thomas Group,Technology,273,Email,2025-06-13T14:19:48.924421Z,"Thomas Group is a leading technology company that specializes in developing innovative software solutions and providing cutting-edge IT services to businesses, driving digital transformation and growth across various industries.",Medium
45,46,Ashley Taylor,Roberts PLC,Technology,345,PPC,2025-06-21T14:19:48.924515Z,Roberts PLC is a leading technology company that specializes in developing innovative software solutions and cutting-edge hardware products to transform industries and enhance customer experiences worldwide.,Medium
46,47,Katherine Moore,Evans Group,Manufacturing,279,PPC,2025-05-28T14:19:48.924609Z,"Evans Group is a leading manufacturing company that specializes in producing high-quality industrial equipment and components, leveraging its expertise in innovation, quality control, and customer satisfaction to drive business growth and success.",Low
47,48,Jason Brandt,"Vargas, Spencer and Gonzalez",Technology,370,Email,2025-06-20T14:19:48.924703Z,"Vargas, Spencer and Gonzalez is a cutting-edge technology firm specializing in innovative solutions and products that seamlessly integrate with modern computing systems, empowering businesses and individuals to stay ahead of the digital curve.",Medium.
48,49,Anna Rosales,"Edwards, Smith and Stone",Healthcare,400,PPC,2025-06-24T14:19:48.924866Z,"Edwards, Smith and Stone is a healthcare company specializing in orthopedic surgery solutions, providing innovative products such as bone grafts, implants, and tissue allografts that enable surgeons to perform complex procedures with greater precision and reduced recovery times.",Low
49,50,Mason Parker MD,Hughes-Duncan,Manufacturing,95,Referral,2025-06-16T14:19:48.925033Z,"Hughes-Duncan is a leading manufacturing company specializing in the production of innovative industrial equipment and solutions that cater to diverse industries such as healthcare, aerospace, and automotive, utilizing state-of-the-art technology and expertise.",Medium
